tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36254,7718,8783198,146149,2017-08-01 16:23:56
892177421306343426,31258,5704,8783198,146149,2017-08-01 00:17:27
891815181378084864,23540,3781,8783198,146149,2017-07-31 00:18:03
891689557279858688,39530,7870,8783198,146149,2017-07-30 15:58:51
891327558926688256,37747,8492,8783198,146149,2017-07-29 16:00:24
891087950875897856,19012,2841,8783198,146149,2017-07-29 00:08:17
890971913173991426,11071,1851,8783198,146149,2017-07-28 16:27:12
890729181411237888,61063,17222,8783198,146149,2017-07-28 00:22:40
890609185150312448,26177,3918,8783198,146149,2017-07-27 16:25:51
890240255349198849,29896,6704,8783198,146149,2017-07-26 15:59:51
890006608113172480,28794,6692,8783198,146149,2017-07-26 00:31:25
889880896479866881,26205,4557,8783198,146149,2017-07-25 16:11:53
889665388333682689,45100,9140,8783198,146149,2017-07-25 01:55:32
889638837579907072,25373,4098,8783198,146149,2017-07-25 00:10:02
889531135344209921,14202,2059,8783198,146149,2017-07-24 17:02:04
889278841981685760,23641,4864,8783198,146149,2017-07-24 00:19:32
888917238123831296,27321,4108,8783198,146149,2017-07-23 00:22:39
888804989199671297,24000,3876,8783198,146149,2017-07-22 16:56:37
888554962724278272,18540,3181,8783198,146149,2017-07-22 00:23:06
888078434458587136,20440,3163,8783199,146149,2017-07-20 16:49:33
887705289381826560,28385,4916,8783199,146149,2017-07-19 16:06:48
887517139158093824,43537,10749,8783199,146149,2017-07-19 03:39:09
887473957103951883,64533,16437,8783200,146149,2017-07-19 00:47:34
887343217045368832,31599,9561,8783200,146149,2017-07-18 16:08:03
887101392804085760,28751,5444,8783200,146149,2017-07-18 00:07:08
886983233522544640,32804,7007,8783200,146149,2017-07-17 16:17:36
886736880519319552,11252,2935,8783200,146149,2017-07-16 23:58:41
886680336477933568,21096,4083,8783200,146149,2017-07-16 20:14:00
886366144734445568,19855,2892,8783200,146149,2017-07-15 23:25:31
886267009285017600,111,4,8783200,146149,2017-07-15 16:51:35
